collection,publication,year,issue_or_edition,filename,source_url,notes
Burlington Section GMC,RidgeLines,1980,RidgeLines March 1980,RidgeLines_March_1980.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-9-no-4.pdf,
Burlington Section GMC,RidgeLines,1980,RidgeLines June 1980,RidgeLines_June_1980.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-10-no-1.pdf,
Burlington Section GMC,RidgeLines,1980,RidgeLines September 1980,RidgeLines_September_1980.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-10-no-2.pdf,
Burlington Section GMC,RidgeLines,1980,RidgeLines December 1980,RidgeLines_December_1980.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-10-no-3.pdf,
Burlington Section GMC,RidgeLines,1981,RidgeLines March 1981,RidgeLines_March_1981.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-10-no-4.pdf,
Burlington Section GMC,RidgeLines,1981,RidgeLines June 1981,RidgeLines_June_1981.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-11-no-1.pdf,
Burlington Section GMC,RidgeLines,1981,RidgeLines September 1981,RidgeLines_September_1981.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-11-no-2.pdf,
Burlington Section GMC,RidgeLines,1982,RidgeLines January 1982,RidgeLines_January_1982.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-11-no-3.pdf,
Burlington Section GMC,RidgeLines,1982,RidgeLines March 1982,RidgeLines_March_1982.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-11-no-4.pdf,
Burlington Section GMC,RidgeLines,1982,RidgeLines June 1982,RidgeLines_June_1982.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-12-no-1.pdf,
Burlington Section GMC,RidgeLines,1982,RidgeLines September 1982,RidgeLines_September_1982.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-12-no-2.pdf,
Burlington Section GMC,RidgeLines,1983,RidgeLines January 1983,RidgeLines_January_1983.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-12-no-3.pdf,
Burlington Section GMC,RidgeLines,1983,RidgeLines March 1983,RidgeLines_March_1983.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-12-no-4.pdf,
Burlington Section GMC,RidgeLines,1983,RidgeLines June 1983,RidgeLines_June_1983.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-13-no-1.pdf,
Burlington Section GMC,RidgeLines,1983,RidgeLines September 1983,RidgeLines_September_1983.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-13-no-2.pdf,
Burlington Section GMC,RidgeLines,1984,RidgeLines January 1984,RidgeLines_January_1984.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-13-no-3.pdf,
Burlington Section GMC,RidgeLines,1984,RidgeLines January 1984,RidgeLines_January_1984.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-14-no-3.pdf,
Burlington Section GMC,RidgeLines,1984,RidgeLines March 1984,RidgeLines_March_1984.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-13-no-4.pdf,
Burlington Section GMC,RidgeLines,1984,RidgeLines June 1984,RidgeLines_June_1984.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-14-no-1.pdf,
Burlington Section GMC,RidgeLines,1984,RidgeLines September 1984,RidgeLines_September_1984.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-14-no-2.pdf,
Burlington Section GMC,RidgeLines,1985,RidgeLines March 1985,RidgeLines_March_1985.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-14-no-4.pdf,
